movie_name,original_title,category,year,age_rating,duration,story_line,rating,casts,director,user_reviews,genres,poster_url,status
Jurassic World: Rebirth,,,2025,PG-13,2h 14m,"Five years post-Jurassic World: Dominion (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough.",6.3,"['Scarlett Johansson', 'Mahershala Ali', 'Jonathan Bailey', 'Rupert Friend', 'Manuel Garcia-Rulfo', 'Luna Blaise', 'David Iacono', 'Audrina Miranda', 'Philippine Velge', 'Bechir Sylvain', 'Ed Skrein', 'Adam Loxley', 'Niamh Finlay', 'Julian Edgar', 'Lucy Thackeray', 'Billy Smith', 'Jonny Lavelle', 'Dylan Bickel']",Gareth Edwards,782,"Action, Adventure, Dinosaur Adventure, Sci-Fi, Thriller",https://image.tmdb.org/t/p/w500/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg,Now Showing
F1: The Movie,F1,,2025,PG-13,2h 35m,A Formula One driver comes out of retirement to mentor and team up with a younger driver.,7.9,"['Brad Pitt', 'Damson Idris', 'Javier Bardem', 'Kerry Condon', 'Tobias Menzies', 'Kim Bodnia', 'Sarah Niles', 'Will Merrick', 'Joseph Balderrama', 'Abdul Salis', 'Callie Cooke', 'Samson Kayo', 'Simon Kunz', 'Liz Kingsman', 'Simone Ashley', 'Ramona Von Pusch', 'Barney Smith', 'Poppy Smith']",Joseph Kosinski,759,"Action, Car Action, Drama, Motorsport, Sport",https://image.tmdb.org/t/p/w500/9PXZIUsSDh4alB80jheWX4fhZmy.jpg,Now Showing
Squid Game,Ojing-eo geim,TV Series,2021–2025,TV-MA,1h,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. A tempting prize awaits, but with deadly high stakes.",8.0,"['Lee Jung-jae', 'Wi Ha-joon', 'Jeon Young-soo', 'Tom Choi', 'Lee Byung-hun', 'Greg Chun', 'Harrison Xu', 'James Tang', 'Rich Ting', 'Yim Si-wan', 'Park Gyuyoung', 'Lee Jin-wook', 'Kim Byung-cheol', 'Hoyeon', 'Jun Suk-ho', 'Jully Lee', 'Park Hae-soo', 'Song Young-chang']",Hwang Dong-hyuk,3.2K,"Action, Conspiracy Thriller, Crime, Dark Comedy, Drama, Korean Drama, Mystery, Psychological Drama, Suspense Mystery, Thriller",https://image.tmdb.org/t/p/w500/yQGaui0bQ5Ai3KIFBB45nTeIqad.jpg,Coming Soon
Sinners,,,2025,R,2h 17m,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",7.7,"['Michael B. Jordan', 'Miles Caton', 'Saul Williams', 'Andrene Ward-Hammond', ""Jack O'Connell"", 'Tenaj L. Jackson', 'Dave Maldonado', 'Aadyn Encalarde', 'Helena Hu', 'Yao', 'Sam Malone', ""Ja'Quan Monroe-Henderson"", 'Li Jun Li', 'Delroy Lindo', 'Jayme Lawson', 'Hailee Steinfeld', 'Percy Bell', 'Omar Benson Miller']",Ryan Coogler,1.4K,"Action, Drama, Horror, Music, Period Drama, Supernatural Horror, Thriller, Vampire Horror",https://image.tmdb.org/t/p/w500/qTvFWCGeGXgBRaINLY1zqgTPSpn.jpg,Now Showing
Heads of State,,,2025,PG-13,1h 56m,"When the U.K. Prime Minister and U.S. President become the targets of a foreign adversary, they're forced to rely on one another to thwart a global conspiracy.",6.5,"['Idris Elba', 'John Cena', 'Priyanka Chopra Jonas', 'Paddy Considine', 'Carla Gugino', 'Stephen Root', 'Jack Quaid', 'Sarah Niles', 'Richard Coyle', 'Alexander Kuznetsov', 'Katrina Durden', 'Wade Briggs', 'Clare Foster', 'Robyn Pennington', 'Adrian Lukis', 'Ingeborga Dapkunaite', 'Sharlto Copley', 'Steven Cree']",Ilya Naishuller,212,"Action, Buddy Comedy, Buddy Cop, Comedy, Thriller",https://image.tmdb.org/t/p/w500/lVgE5oLzf7ABmzyASEVcjYyHI41.jpg,Now Showing
The Old Guard 2,,,2025,R,1h 47m,"Andy leads immortal warriors against a powerful enemy threatening their group. They grapple with the resurfacing of a long-lost immortal, complicating their mission to safeguard humanity.",5.1,"['Charlize Theron', 'KiKi Layne', 'Matthias Schoenaerts', 'Marwan Kenzari', 'Luca Marinelli', 'Chiwetel Ejiofor', 'Veronica Ngo', 'Henry Golding', 'Uma Thurman', 'Kamil Nozynski', 'Slavko Sobin', 'Christophe Tek', 'Lorenzo Acquaviva', 'Peter Arpesella', 'Todd Cattell']",Victoria Mahoney,299,"Action, Adventure, Fantasy, Superhero, Thriller",https://image.tmdb.org/t/p/w500/wqfu3bPLJaEWJVk3QOm0rKhxf1A.jpg,Now Showing
The Sandman,,TV Series,2022–2025,TV-MA,45m,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",7.7,"['Tom Sturridge', 'Vivienne Acheampong', 'Patton Oswalt', 'Boyd Holbrook', 'Mason Alexander Park', 'Nina Wadia', 'Souad Faress', 'Dinita Gohil', 'Kirby Howell-Baptiste', 'Gwendoline Christie', 'Kyo Ra', 'Razane Jammal', 'Nicholas Anscombe', 'Jenna Coleman', 'Esme Creed-Miles', 'Asim Chaudhry', 'Sandra James-Young', 'David Thewlis']",Neil Gaiman,1.5K,"Drama, Fantasy, Horror, Sci-Fi",https://image.tmdb.org/t/p/w500/6Bsg9lEIGsXPoO61CjI3qbxqaVA.jpg,Coming Soon
Ironheart,,TV Mini Series,2025,TV-14,50m,Genius teenage inventor Riri Williams creates the most advanced suit of armor since Iron Man.,4.2,"['Dominique Thorne', 'Anthony Ramos', 'Lyric Ross', 'Matthew Elam', 'Anji White', 'Alden Ehrenreich', 'Eric André', 'Sonia Denis', 'Jaren Merrell', 'Zoe Terakes', 'Shakira Barrera', 'Manny Montana', 'LaRoyce Hawkins', 'Harper Anthony', 'Paul Calderon', 'Regan Aliyah', 'Tanya Christiansen', 'Tom Cohan']",Chinaka Hodge,552,"Action, Adventure, Drama, Fantasy, Sci-Fi, Superhero",https://placehold.co/600x900?text=Ironheart,Now Showing
28 Years Later,,,2025,R,1h 55m,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors.",7.1,"['Jodie Comer', 'Aaron Taylor-Johnson', 'Ralph Fiennes', 'Rocco Haynes', 'Haley Flaherty', 'Harriet Taylor', 'Hannah Allan-Robertson', 'Annabelle Graham', 'Olivia Morley', 'Theadora Rawlings', 'Darcie Smith', 'Isla Vickers', 'Kim Allan', 'Sandy Batchelor', 'Alfie Williams', 'Christopher Fulford', 'Sienna Giblin', 'Amy Cameron']",Danny Boyle,1K,"Horror, Thriller, Zombie Horror",https://image.tmdb.org/t/p/w500/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg,Now Showing
The Waterfront,,TV Series,2025–,TV-MA,45m,"As their storied North Carolina fishing empire decays, the damaged Buckleys grapple to revive their imperiled maritime heritage.",7.0,"['Holt McCallany', 'Melissa Benoist', 'Jake Weary', 'Rafael L. Silva', 'Humberly González', 'Danielle Campbell', 'Brady Hepner', 'Maria Bello', 'Dave Annable', 'J. Elliott', 'Gerardo Celasco', 'Topher Grace', 'Michael Gaston', 'Joshua Mikel', 'Andrew Call', 'Josh Crotty', 'Tony DeMil', 'Lucas Hyde']",Kevin Williamson,108,"Crime, Drama",https://image.tmdb.org/t/p/w500/vVnHvNiGErw8s7XoXZneCuXNDb9.jpg,Coming Soon
